model,mae,rmse,r2,train_rows,test_rows,epsilon,min_feature_epsilon,max_feature_epsilon,intercept_epsilon
baseline_ridge_regression,107.67273086851368,207.36984574043265,0.6901929868908425,160000,40000,,,,
dp_noisy_ridge_regression,107.68912500547222,208.23284997235265,0.68760899398692,160000,40000,10.0,,,
adaptive_dp_noisy_ridge_regression,107.67022176000094,208.25645664770946,0.6875381604841704,160000,40000,10.0,0.008654671638071517,1.0494582139182393,1.0
